Film,Movie.Genre,Award,Year_of_Release,IMDB_Votes,IMDB.Rating,Movie.Time
The Crying Game,"Crime,Drama,Romance",Nominee,1992,53289,7.3,112
A Few Good Men,"Drama,Thriller",Nominee,1992,245903,7.7,138
Howards End,"Drama,Romance",Nominee,1992,30508,7.4,142
Scent of a Woman,Drama,Nominee,1992,277333,8,156
Schindler's List,"Biography,Drama,History",Winner,1993,1261563,8.9,195
The Fugitive,"Action,Crime,Drama",Nominee,1993,278006,7.8,130
In the Name of the Father,"Biography,Crime,Drama",Nominee,1993,165134,8.1,133
The Piano,"Drama,Music,Romance",Nominee,1993,81749,7.6,121
The Remains of the Day,"Drama,Romance",Nominee,1993,69613,7.8,134
Forrest Gump,"Drama,Romance",Winner,1994,1895991,8.8,142
Four Weddings and a Funeral,"Comedy,Drama,Romance",Nominee,1994,145046,7.1,117
Pulp Fiction,"Crime,Drama",Nominee,1994,1900918,8.9,154
Quiz Show,"Biography,Drama,History",Nominee,1994,66948,7.5,133
The Shawshank Redemption,Drama,Nominee,1994,2452594,9.3,142
Braveheart,"Biography,Drama,History",Winner,1995,986016,8.3,178
Apollo 13,"Adventure,Drama,History",Nominee,1995,279684,7.6,140
Babe,"Comedy,Drama,Family",Nominee,1995,120428,6.8,91
The Postman (Il Postino),"Biography,Comedy,Drama",Nominee,1994,34974,7.7,108
Sense and Sensibility,"Drama,Romance",Nominee,1995,108657,7.7,136
The English Patient,"Drama,Romance,War",Winner,1996,183677,7.4,162
Fargo,"Crime,Drama,Thriller",Nominee,1996,641314,8.1,98
Jerry Maguire,"Comedy,Drama,Romance",Nominee,1996,251072,7.3,139
Secrets & Lies,"Comedy,Drama",Nominee,1996,41079,8,136
Shine,"Biography,Drama,Music",Nominee,1996,52751,7.7,105
Titanic,"Drama,Romance",Winner,1997,1089044,7.8,194
As Good as It Gets,"Comedy,Drama,Romance",Nominee,1997,285908,7.7,139
The Full Monty,"Comedy,Drama",Nominee,1997,102282,7.2,91
Good Will Hunting,"Drama,Romance",Nominee,1997,896929,8.3,126
L.A. Confidential,"Crime,Drama,Mystery",Nominee,1997,550162,8.2,138
Shakespeare in Love,"Comedy,Drama,History",Winner,1998,218538,7.1,123
Elizabeth,"Biography,Drama,History",Nominee,1998,95572,7.4,124
Life Is Beautiful,"Comedy,Drama,Romance",Nominee,1997,649390,8.6,116
Saving Private Ryan,"Drama,War",Nominee,1998,1287001,8.6,169
The Thin Red Line,"Drama,War",Nominee,1998,179626,7.6,170
American Beauty,Drama,Winner,1999,1101496,8.3,122
The Cider House Rules,"Drama,Romance",Nominee,1999,95629,7.4,126
The Green Mile,"Crime,Drama,Fantasy",Nominee,1999,1198434,8.6,189
The Insider,"Biography,Drama,Thriller",Nominee,1999,165522,7.8,157
The Sixth Sense,"Drama,Mystery,Thriller",Nominee,1999,939659,8.1,107
Gladiator,"Action,Adventure,Drama",Winner,2000,1393352,8.5,155
Chocolat,"Drama,Romance",Nominee,2000,183002,7.2,121
"Crouching Tiger, Hidden Dragon","Action,Adventure,Fantasy",Nominee,2000,259991,7.8,120
Erin Brockovich,"Biography,Drama",Nominee,2000,184808,7.4,131
Traffic,"Crime,Drama,Thriller",Nominee,2000,201093,7.6,147
A Beautiful Mind,"Biography,Drama",Winner,2001,878511,8.2,135
Gosford Park,"Comedy,Drama,Mystery",Nominee,2001,83531,7.2,131
In the Bedroom,"Crime,Drama",Nominee,2001,39427,7.4,131
The Lord of the Rings: The Fellowship of the Ring,"Action,Adventure,Drama",Nominee,2001,1724755,8.8,178
Moulin Rouge!,"Drama,Musical,Romance",Nominee,2001,273077,7.6,127
Chicago,"Comedy,Crime,Musical",Winner,2002,221622,7.2,113
Gangs of New York,"Crime,Drama",Nominee,2002,418948,7.5,167
The Hours,"Drama,Romance",Nominee,2002,127773,7.5,110
The Lord of the Rings: The Two Towers,"Action,Adventure,Drama",Nominee,2002,1540135,8.7,179
The Pianist,"Biography,Drama,Music",Nominee,2002,766841,8.5,150
The Lord of the Rings: The Return of the King,"Action,Adventure,Drama",Winner,2003,1703481,8.9,201
Lost in Translation,"Comedy,Drama",Nominee,2003,431381,7.7,102
Master and Commander: The Far Side of the World,"Action,Adventure,Drama",Nominee,2003,210599,7.4,138
Mystic River,"Crime,Drama,Mystery",Nominee,2003,435337,7.9,138
Seabiscuit,"Drama,History,Sport",Nominee,2003,70147,7.3,140
Million Dollar Baby,"Drama,Sport",Winner,2004,655679,8.1,132
The Aviator,"Biography,Drama",Nominee,2004,344901,7.5,170
Finding Neverland,"Biography,Drama,Family",Nominee,2004,202139,7.7,106
Ray,"Biography,Drama,Music",Nominee,2004,142545,7.7,152
Sideways,"Comedy,Drama,Romance",Nominee,2004,184511,7.5,127
Crash,"Crime,Drama,Thriller",Winner,2004,426775,7.7,112
Brokeback Mountain,"Drama,Romance",Nominee,2005,337000,7.7,134
Capote,"Biography,Crime,Drama",Nominee,2005,128822,7.3,114
"Good Night, and Good Luck","Biography,Drama,History",Nominee,2005,95865,7.4,93
Munich,"Action,Drama,History",Nominee,2005,218462,7.5,164
The Departed,"Crime,Drama,Thriller",Winner,2006,1235906,8.5,151
Babel,Drama,Nominee,2006,295061,7.4,143
Letters from Iwo Jima,"Action,Adventure,Drama",Nominee,2006,157732,7.9,141
Little Miss Sunshine,"Comedy,Drama",Nominee,2006,453506,7.8,101
The Queen,"Biography,Drama,History",Nominee,2006,107000,7.3,103
No Country for Old Men,"Crime,Drama,Thriller",Winner,2007,896630,8.1,122
Atonement,"Drama,Mystery,Romance",Nominee,2007,261609,7.8,123
Juno,"Comedy,Drama",Nominee,2007,502296,7.4,96
Michael Clayton,"Crime,Drama,Mystery",Nominee,2007,160164,7.2,119
There Will Be Blood,Drama,Nominee,2007,542278,8.2,158
Slumdog Millionaire,"Drama,Romance",Winner,2008,816485,8,120
The Curious Case of Benjamin Button,"Drama,Fantasy,Romance",Nominee,2008,611518,7.8,166
Frost/Nixon,"Biography,Drama,History",Nominee,2008,105602,7.7,122
Milk,"Biography,Drama",Nominee,2008,168756,7.5,128
The Reader,"Drama,Romance",Nominee,2008,235605,7.6,124
The Hurt Locker,"Drama,Thriller,War",Winner,2008,433326,7.5,131
Avatar,"Action,Adventure,Fantasy",Nominee,2009,1153124,7.8,162
The Blind Side,"Biography,Drama,Sport",Nominee,2009,305982,7.6,129
District 9,"Action,Sci-Fi,Thriller",Nominee,2009,653215,7.9,112
An Education,Drama,Nominee,2009,131326,7.3,100
Inglourious Basterds,"Adventure,Drama,War",Nominee,2009,1326791,8.3,153
Precious: Based on the Novel 'Push' by Sapphire,Drama,Nominee,2009,107998,7.3,110
A Serious Man,"Comedy,Drama",Nominee,2009,137770,7.1,106
Up,"Animation,Adventure,Comedy",Nominee,2009,971845,8.2,96
Up in the Air,"Comedy,Drama,Romance",Nominee,2009,325743,7.4,109
The King's Speech,"Biography,Drama,History",Winner,2010,655187,8,118
127 Hours,"Biography,Drama",Nominee,2010,359243,7.5,94
Black Swan,"Drama,Thriller",Nominee,2010,721688,8,108
The Fighter,"Biography,Drama,Sport",Nominee,2010,350469,7.8,116
Inception,"Action,Adventure,Sci-Fi",Nominee,2010,2160498,8.8,148
The Kids Are All Right,"Comedy,Drama,Romance",Nominee,2010,127959,7,106
The Social Network,"Biography,Drama",Nominee,2010,651516,7.7,120
Toy Story 3,"Animation,Adventure,Comedy",Nominee,2010,783665,8.2,103
True Grit,"Drama,Western",Nominee,2010,322030,7.6,110
Winter's Bone,"Drama,Mystery",Nominee,2010,138998,7.2,100
The Artist,"Comedy,Drama,Romance",Winner,2011,235457,7.9,100
The Descendants,"Comedy,Drama",Nominee,2011,236381,7.3,115
Extremely Loud & Incredibly Close,"Adventure,Drama,Mystery",Nominee,2011,99514,6.9,129
The Help,Drama,Nominee,2011,438666,8,146
Hugo,"Drama,Family,Fantasy",Nominee,2011,312181,7.5,126
Midnight in Paris,"Comedy,Fantasy,Romance",Nominee,2011,401524,7.7,94
Moneyball,"Biography,Drama,Sport",Nominee,2011,389329,7.6,133
The Tree of Life,"Drama,Fantasy",Nominee,2011,171734,6.8,139
War Horse,"Action,Adventure,Drama",Nominee,2011,151533,7.2,146
Argo,"Biography,Drama,Thriller",Winner,2012,588984,7.7,120
Amour,Drama,Nominee,2012,96258,7.9,127
Beasts of the Southern Wild,"Adventure,Drama,Fantasy",Nominee,2012,82051,7.3,93
Django Unchained,"Drama,Western",Nominee,2012,1420092,8.4,165
Life of Pi,"Adventure,Drama,Fantasy",Nominee,2012,598436,7.9,127
Lincoln,"Crime,Drama,Mystery",Nominee,2011,223752,7.3,118
Les Misérables,"Drama,History,Musical",Nominee,2012,317030,7.6,158
Silver Linings Playbook,"Comedy,Drama,Romance",Nominee,2012,679022,7.7,122
Zero Dark Thirty,"Drama,History,Thriller",Nominee,2012,283119,7.4,157
12 Years a Slave,"Biography,Drama,History",Winner,2013,662741,8.1,134
American Hustle,"Crime,Drama",Nominee,2013,460918,7.2,138
Captain Phillips,"Adventure,Biography,Crime",Nominee,2013,436364,7.8,134
Dallas Buyers Club,"Biography,Drama",Nominee,2013,459404,8,117
Gravity,"Drama,Sci-Fi,Thriller",Nominee,2013,789470,7.7,91
Her,"Drama,Romance,Sci-Fi",Nominee,2013,565149,8,126
Nebraska,"Adventure,Comedy,Drama",Nominee,2013,115031,7.7,115
Philomena,"Biography,Comedy,Drama",Nominee,2013,96771,7.6,98
The Wolf of Wall Street,"Biography,Crime,Drama",Nominee,2013,1257166,8.2,180
Birdman or (The Unexpected Virtue of Ignorance),"Comedy,Drama",Winner,2014,599240,7.7,119
American Sniper,"Action,Biography,Drama",Nominee,2014,455885,7.3,133
Boyhood,Drama,Nominee,2014,343822,7.9,165
The Grand Budapest Hotel,"Adventure,Comedy,Crime",Nominee,2014,741950,8.1,99
The Imitation Game,"Biography,Drama,Thriller",Nominee,2014,714452,8,114
Selma,"Biography,Drama,History",Nominee,2014,89059,7.5,128
The Theory of Everything,"Biography,Drama,Romance",Nominee,2014,421764,7.7,123
Whiplash,"Drama,Music",Nominee,2014,758911,8.5,106
Spotlight,"Biography,Crime,Drama",Winner,2015,440413,8.1,129
The Big Short,"Biography,Comedy,Drama",Nominee,2015,387192,7.8,130
Bridge of Spies,"Drama,History,Thriller",Nominee,2015,298091,7.6,142
Brooklyn,"Drama,Romance",Nominee,2015,135972,7.5,117
Mad Max: Fury Road,"Action,Adventure,Sci-Fi",Nominee,2015,922840,8.1,120
The Martian,"Adventure,Drama,Sci-Fi",Nominee,2015,791919,8,144
The Revenant,"Action,Adventure,Drama",Nominee,2015,738208,8,156
Room,"Drama,Thriller",Nominee,2015,391182,8.1,118
Moonlight,Drama,Winner,2016,287563,7.4,111
Arrival,"Drama,Sci-Fi",Nominee,2016,629568,7.9,116
Fences,Drama,Nominee,2016,102639,7.2,139
Hacksaw Ridge,"Biography,Drama,History",Nominee,2016,464504,8.1,139
Hell or High Water,"Action,Crime,Drama",Nominee,2016,213325,7.6,102
Hidden Figures,"Biography,Drama,History",Nominee,2016,211233,7.8,127
La La Land,"Comedy,Drama,Music",Nominee,2016,534405,8,128
Lion,"Biography,Drama",Nominee,2016,223804,8,118
Manchester by the Sea,Drama,Nominee,2016,260159,7.8,137
The Shape of Water,"Adventure,Drama,Fantasy",Winner,2017,391523,7.3,123
Call Me by Your Name,"Drama,Romance",Nominee,2017,234177,7.9,132
Darkest Hour,"Biography,Drama,History",Nominee,2017,184502,7.4,125
Dunkirk,"Action,Drama,History",Nominee,2017,591901,7.8,106
Get Out,"Horror,Mystery,Thriller",Nominee,2017,526587,7.7,104
Lady Bird,"Comedy,Drama",Nominee,2017,258867,7.4,94
Phantom Thread,"Drama,Romance",Nominee,2017,119413,7.5,130
The Post,Drama,Nominee,2017,142630,7.2,116
"Three Billboards Outside Ebbing, Missouri","Comedy,Crime,Drama",Nominee,2017,463268,8.1,115
Green Book,"Biography,Comedy,Drama",Winner,2018,422669,8.2,130
Black Panther,"Action,Adventure,Sci-Fi",Nominee,2018,671956,7.3,134
BlacKkKlansman,"Biography,Comedy,Crime",Nominee,2018,240028,7.5,135
Bohemian Rhapsody,"Biography,Drama,Music",Nominee,2018,482597,7.9,134
The Favourite,"Biography,Comedy,Drama",Nominee,2018,183744,7.5,119
Roma,Drama,Nominee,2018,147705,7.7,135
A Star Is Born,"Drama,Music,Romance",Nominee,2018,354157,7.6,136
Vice,"Biography,Comdey,Drama",Nominee,2018,132014,7.2,132
Parasite,"Comedy,Drama,Thriller",Winner,2019,651517,8.6,132
1917,"Action,Drama,War",Nominee,2019,485648,8.3,119
Ford v Ferrari,"Action,Biography,Drama",Nominee,2019,331665,8.1,152
The Irishman,"Biography,Crime,Drama",Nominee,2019,349303,7.8,209
Jojo Rabbit,"Comedy,Drama,War",Nominee,2019,335856,7.9,108
Joker,"Crime,Drama,Thriller",Nominee,2019,1056051,8.4,122
Little Women,"Drama,Romance",Nominee,2019,163410,7.8,135
Marriage Story,"Comedy,Drama,Romance",Nominee,2019,270304,7.9,137
Once Upon a Time in Hollywood,"Comedy,Drama",Nominee,2019,628233,7.6,161
Nomadland,Drama,Nominee,2020,123041,7.4,107
The Father,Drama,Nominee,2020,89693,8.3,97
Judas and the Black Messiah,"Biography,Drama,History",Nominee,2021,58996,7.5,126
Mank,"Biography,Comedy,Drama",Nominee,2020,65380,6.9,131
Minari,Drama,Nominee,2020,57976,7.5,115
Promising Young Woman,"Crime,Drama,Thriller",Nominee,2020,122269,7.5,113
Sound of Metal,"Drama,Music",Nominee,2019,102807,7.8,120
The Trial of the Chicago 7,"Drama,History,Thriller",Nominee,2020,156283,7.8,129
