Film,Movie.Genre,Award,Year_of_Release,IMDB_Votes,IMDB.Rating,Movie.Time
Grand Illusion,"Drama,War",Nominee,1937,35191,8.1,113
Jezebel,"Drama,Romance",Nominee,1938,12874,7.5,104
Pygmalion,"Comedy,Drama,Romance",Nominee,1938,8321,7.8,89
Test Pilot,"Drama,Romance",Nominee,1938,2323,6.9,119
Gone with the Wind,"Drama,History,Romance",Winner,1939,300592,8.1,238
Dark Victory,"Drama,Romance",Nominee,1939,10648,7.5,104
"Goodbye, Mr. Chips","Drama,Romance",Nominee,1939,10164,7.9,114
Love Affair,"Comedy,Drama,Romance",Nominee,1939,4857,7.3,88
Mr. Smith Goes to Washington,"Comedy,Drama",Nominee,1939,110984,8.1,129
Ninotchka,"Comedy,Romance",Nominee,1939,19988,7.9,110
Of Mice and Men,"Adventure,Drama",Nominee,1939,5813,7.9,106
Stagecoach,"Adventure,Drama,Western",Nominee,1939,45997,7.9,96
The Wizard of Oz,"Adventure,Family,Fantasy",Nominee,1939,378893,8,102
Wuthering Heights,"Drama,Romance",Nominee,1939,17314,7.6,104
Rebecca,"Drama,Mystery,Romance",Winner,1940,130546,8.1,130
"All This, and Heaven Too","Drama,Romance",Nominee,1940,4728,7.5,141
Foreign Correspondent,"Action,Romance,Thriller",Nominee,1940,19657,7.5,120
The Grapes of Wrath,"Drama,History",Nominee,1940,89303,8.1,129
The Great Dictator,"Comedy,Drama,War",Nominee,1940,212446,8.4,125
Kitty Foyle,"Drama,Romance",Nominee,1940,3495,6.9,108
The Letter,"Crime,Drama,Film-Noir",Nominee,1940,12503,7.6,95
The Long Voyage Home,"Drama,War",Nominee,1940,4139,7,105
Our Town,"Drama,Romance",Nominee,1940,2525,6.6,90
The Philadelphia Story,"Comedy,Romance",Nominee,1940,66044,7.9,112
How Green Was My Valley,"Drama,Family",Winner,1941,22753,7.7,118
Blossoms in the Dust,"Biography,Drama,Romance",Nominee,1941,1919,6.9,99
Citizen Kane,"Drama,Mystery",Nominee,1941,420959,8.3,119
Here Comes Mr. Jordan,"Comedy,Fantasy,Romance",Nominee,1941,6154,7.6,94
Hold Back the Dawn,"Drama,Romance",Nominee,1941,2247,7.4,116
The Little Foxes,"Drama,Romance",Nominee,1941,11254,8,116
The Maltese Falcon,"Crime,Film-Noir,Mystery",Nominee,1941,152988,8,100
One Foot in Heaven,"Biography,Drama",Nominee,1941,1213,6.8,108
Sergeant York,"Biography,Drama,History",Nominee,1941,17415,7.7,134
Suspicion,"Film-Noir,Mystery,Thriller",Nominee,1941,36081,7.4,99
Mrs. Miniver,"Drama,Romance,War",Winner,1942,16879,7.6,134
49th Parallel,"Drama,Thriller,War",Nominee,1941,6333,7.3,123
Kings Row,"Drama,Mystery,Romance",Nominee,1942,4285,7.5,127
The Magnificent Ambersons,"Drama,Romance",Nominee,1942,23662,7.7,88
The Pied Piper,"Drama,War",Nominee,1942,565,7.1,87
The Pride of the Yankees,"Biography,Drama,Romance",Nominee,1942,10459,7.7,128
Random Harvest,"Adventure,Drama,Family",Nominee,1942,7331,8,126
The Talk of the Town,"Comedy,Drama,Romance",Nominee,1942,7884,7.5,118
Wake Island,"Action,Drama,War",Nominee,1942,1924,6.8,88
Yankee Doodle Dandy,"Biography,Drama,Music",Nominee,1942,14872,7.7,126
Casablanca,"Drama,Romance,War",Winner,1942,541023,8.5,102
For Whom the Bell Tolls,"Adventure,Drama,History",Nominee,1943,8880,6.9,170
Heaven Can Wait,"Comedy,Drama,Fantasy",Nominee,1943,10272,7.4,112
The Human Comedy,"Comedy,Drama,Family",Nominee,1943,2044,7,117
In Which We Serve,"Drama,War",Nominee,1942,5442,7.2,115
Madame Curie,"Biography,Drama,Romance",Nominee,1943,2779,7.2,124
The More the Merrier,"Comedy,Romance,War",Nominee,1943,6264,7.7,104
The Ox-Bow Incident,"Adventure,Drama,Western",Nominee,1942,22189,8,75
The Song of Bernadette,"Biography,Drama",Nominee,1943,6554,7.6,156
Watch on the Rhine,"Drama,Thriller",Nominee,1943,4246,7.3,114
Going My Way,"Comedy,Drama,Music",Winner,1944,11187,7.1,126
Double Indemnity,"Crime,Drama,Film-Noir",Nominee,1944,149399,8.3,107
Gaslight,"Crime,Drama,Mystery",Nominee,1944,26296,7.8,114
Since You Went Away,"Drama,Romance,War",Nominee,1944,4428,7.5,177
Wilson,"Biography,Drama,History",Nominee,1944,1525,6.4,154
The Lost Weekend,"Drama,Film-Noir",Winner,1945,35261,7.9,101
Anchors Aweigh,"Comedy,Fantasy,Music",Nominee,1945,8298,7.1,140
The Bells of St. Mary's,Drama,Nominee,1945,7546,7.3,126
Mildred Pierce,"Crime,Drama,Film-Noir",Nominee,1945,24288,8,111
