"Film","Movie.Genre","IMDB.Rating","Audience.Count","Movie.Time"
"How Green Was My Valley","Drama,Family",7.7,7950,118
"Blossoms in the Dust","Biography,Drama,Romance",6.9,379,99
"Citizen Kane","Drama,Mystery",8.3,159199,119
"Here Comes Mr. Jordan","Comedy,Fantasy,Romance",7.6,1120,94
"Hold Back the Dawn","Drama,Romance",7.4,NA,116
"The Little Foxes","Drama,Romance",8,3522,116
"The Maltese Falcon","Crime,Film-Noir,Mystery",8,57852,100
"One Foot in Heaven","Biography,Drama",6.8,NA,108
"Sergeant York","Biography,Drama,History",7.7,5674,134
"Suspicion","Film-Noir,Mystery,Thriller",7.4,14737,99
"Mrs. Miniver","Drama,Romance,War",7.6,6063,134
"49th Parallel","Drama,Thriller,War",7.3,NA,123
"Kings Row","Drama,Mystery,Romance",7.5,1081,127
"The Magnificent Ambersons","Drama,Romance",7.7,6468,88
"The Pied Piper","Drama,War",7.1,NA,87
"The Pride of the Yankees","Biography,Drama,Romance",7.7,6839,128
"Random Harvest","Adventure,Drama,Family",8,2805,126
"The Talk of the Town","Comedy,Drama,Romance",7.5,3083,118
"Wake Island","Action,Drama,War",6.8,NA,88
"Yankee Doodle Dandy","Biography,Drama,Music",7.7,8136,126
"Casablanca","Drama,Romance,War",8.5,357518,102
"For Whom the Bell Tolls","Adventure,Drama,History",6.9,40,170
"Heaven Can Wait","Comedy,Drama,Fantasy",7.4,4380,112
"The Human Comedy","Comedy,Drama,Family",7,360,117
"In Which We Serve","Drama,War",7.2,861,115
"Madame Curie","Biography,Drama,Romance",7.2,495,124
"The More the Merrier","Comedy,Romance,War",7.7,1310,104
"The Ox-Bow Incident","Adventure,Drama,Western",8,NA,75
"The Song of Bernadette","Biography,Drama",7.6,3262,156
"Watch on the Rhine","Drama,Thriller",7.3,600,114
"Going My Way","Comedy,Drama,Music",7.1,5784,126
"Double Indemnity","Crime,Drama,Film-Noir",8.3,35764,107
"Gaslight","Crime,Drama,Mystery",7.8,8527,114
"Since You Went Away","Drama,Romance,War",7.5,NA,177
"Wilson","Biography,Drama,History",6.4,NA,154
"The Lost Weekend","Drama,Film-Noir",7.9,8866,101
"Anchors Aweigh","Comedy,Fantasy,Music",7.1,8284,140
"The Bells of St. Mary's","Drama",7.3,NA,126
"Mildred Pierce","Crime,Drama,Film-Noir",8,8234,111
"Spellbound","Film-Noir,Mystery,Romance",7.5,NA,111
"The Best Years of Our Lives","Drama,Romance,War",8.1,10819,170
"Henry V","Biography,Drama,History",7.1,NA,137
"It's a Wonderful Life","Drama,Family,Fantasy",8.6,218883,130
"The Razor's Edge","Drama,Romance",7.4,1905,145
"The Yearling","Drama,Family,Western",7.2,3770,128
"Gentleman's Agreement","Drama,Romance",7.2,5627,118
"The Bishop's Wife","Comedy,Drama,Fantasy",7.6,NA,109
"Crossfire","Crime,Drama,Film-Noir",7.3,1885,86
"Great Expectations","Adventure,Drama,Mystery",7.8,NA,118
"Miracle on 34th Street","Comedy,Drama,Family",7.9,47572,96
"Hamlet","Drama",7.6,7542,154
"Johnny Belinda","Drama",7.8,1429,102
"The Red Shoes","Drama,Music,Romance",8.1,11766,135
"The Snake Pit","Drama,Mystery",7.6,2656,108
"The Treasure of the Sierra Madre","Adventure,Drama,Western",8.2,26122,126
"All the King's Men","Drama,Film-Noir",7.5,4866,110
"Battleground","Action,Drama,History",7.5,2737,118
"The Heiress","Drama,Romance",8.2,NA,115
"A Letter to Three Wives","Drama,Romance",7.7,3781,103
"Twelve O'Clock High","Drama,War",7.7,6019,132
"All About Eve","Drama",8.2,45248,138
"Born Yesterday","Comedy,Drama,Romance",7.6,4780,103
"Father of the Bride","Comedy,Romance",7.2,13901,92
"King Solomon's Mines","Action,Adventure,Romance",6.8,3242,103
