"Film","Movie.Genre","IMDB.Rating","Audience.Count","Movie.Time"
"Midnight in Paris","Comedy,Fantasy,Romance",7.7,82553,94
"Moneyball","Biography,Drama,Sport",7.6,91772,133
"The Tree of Life","Drama,Fantasy",6.8,60899,139
"War Horse","Action,Adventure,Drama",7.2,69714,146
"Argo","Biography,Drama,Thriller",7.7,208711,120
"Amour","Drama",7.9,20897,127
"Beasts of the Southern Wild","Adventure,Drama,Fantasy",7.3,39335,93
"Django Unchained","Drama,Western",8.4,429231,165
"Life of Pi","Adventure,Drama,Fantasy",7.9,169196,127
"Lincoln","Crime,Drama,Mystery",7.3,NA,118
"Les Misérables","Drama,History,Musical",7.6,265259,158
"Silver Linings Playbook","Comedy,Drama,Romance",7.7,260499,122
"Zero Dark Thirty","Drama,History,Thriller",7.4,NA,157
"12 Years a Slave","Biography,Drama,History",8.1,140313,134
"American Hustle","Crime,Drama",7.2,175937,138
"Captain Phillips","Adventure,Biography,Crime",7.8,152496,134
"Dallas Buyers Club","Biography,Drama",8,92788,117
"Gravity","Drama,Sci-Fi,Thriller",7.7,303162,91
"Her","Drama,Romance,Sci-Fi",8,101535,126
"Nebraska","Adventure,Comedy,Drama",7.7,44798,115
"Philomena","Biography,Comedy,Drama",7.6,52399,98
"The Wolf of Wall Street","Biography,Crime,Drama",8.2,180827,180
"Birdman or (The Unexpected Virtue of Ignorance)","Comedy,Drama",7.7,NA,119
"American Sniper","Action,Biography,Drama",7.3,NA,133
"Boyhood","Drama",7.9,89725,165
"The Grand Budapest Hotel","Adventure,Comedy,Crime",8.1,97547,99
"The Imitation Game","Biography,Drama,Thriller",8,103920,114
"Selma","Biography,Drama,History",7.5,61482,128
"The Theory of Everything","Biography,Drama,Romance",7.7,75918,123
"Whiplash","Drama,Music",8.5,70212,106
"Spotlight","Biography,Crime,Drama",8.1,70385,129
"The Big Short","Biography,Comedy,Drama",7.8,69098,130
"Bridge of Spies","Drama,History,Thriller",7.6,65466,142
"Brooklyn","Drama,Romance",7.5,46857,117
"Mad Max: Fury Road","Action,Adventure,Sci-Fi",8.1,128344,120
"The Martian","Adventure,Drama,Sci-Fi",8,131656,144
"The Revenant","Action,Adventure,Drama",8,105270,156
"Room","Drama,Thriller",8.1,49668,118
"Moonlight","Drama",7.4,45533,111
"Arrival","Drama,Sci-Fi",7.9,83315,116
"Fences","Drama",7.2,36228,139
"Hacksaw Ridge","Biography,Drama,History",8.1,55594,139
"Hell or High Water","Action,Crime,Drama",7.6,40088,102
"Hidden Figures","Biography,Drama,History",7.8,NA,127
"La La Land","Comedy,Drama,Music",8,71314,128
"Lion","Biography,Drama",8,39787,118
"Manchester by the Sea","Drama",7.8,50194,137
"The Shape of Water","Adventure,Drama,Fantasy",7.3,25784,123
"Call Me by Your Name","Drama,Romance",7.9,NA,132
"Darkest Hour","Biography,Drama,History",7.4,14004,125
"Dunkirk","Action,Drama,History",7.8,68676,106
"Get Out","Horror,Mystery,Thriller",7.7,75461,104
"Lady Bird","Comedy,Drama",7.4,22610,94
"Phantom Thread","Drama,Romance",7.5,NA,130
"The Post","Drama",7.2,NA,116
"Three Billboards Outside Ebbing, Missouri","Comedy,Crime,Drama",8.1,22869,115
"Green Book","Biography,Comedy,Drama",8.2,10093,130
"Black Panther","Action,Adventure,Sci-Fi",7.3,88211,134
"BlacKkKlansman","Biography,Comedy,Crime",7.5,11251,135
"Bohemian Rhapsody","Biography,Drama,Music",7.9,23296,134
"The Favourite","Biography,Comedy,Drama",7.5,7189,119
"Roma","Drama",7.7,5521,135
"A Star Is Born","Drama,Music,Romance",7.6,20442,136
"Vice","Biography,Comdey,Drama",7.2,5061,132
"Parasite","Comedy,Drama,Thriller",8.6,NA,132
"1917","Action,Drama,War",8.3,NA,119
"Ford v Ferrari","Action,Biography,Drama",8.1,NA,152
"The Irishman","Biography,Crime,Drama",7.8,1057,209
"Jojo Rabbit","Comedy,Drama,War",7.9,NA,108
"Joker","Crime,Drama,Thriller",8.4,66303,122
"Little Women","Drama,Romance",7.8,NA,135
"Marriage Story","Comedy,Drama,Romance",7.9,184,137
"Once Upon a Time in Hollywood","Comedy,Drama",7.6,NA,161
"Nomadland","Drama",7.4,NA,107
"The Father","Drama",8.3,NA,97
"Judas and the Black Messiah","Biography,Drama,History",7.5,NA,126
"Mank","Biography,Comedy,Drama",6.9,NA,131
"Minari","Drama",7.5,NA,115
"Promising Young Woman","Crime,Drama,Thriller",7.5,NA,113
"Sound of Metal","Drama,Music",7.8,NA,120
"The Trial of the Chicago 7","Drama,History,Thriller",7.8,NA,129
